b_values,p0_values,loglikelihood
1.0,-13.5,1.9482378959655762
1.0,-13.48743724822998,0.5790017247200012
1.0,-13.474874496459961,0.5578811764717102
1.0,-13.462311744689941,0.6974859237670898
1.0,-13.449748992919922,0.7745973467826843
1.0,-13.437186241149902,0.8701558709144592
1.0,-13.424623489379883,2.4512927532196045
1.0,-13.412060737609863,0.7817175388336182
1.0,-13.399497032165527,0.783918559551239
1.0,-13.386934280395508,0.7945828437805176
1.0,-13.374371528625488,0.7189177870750427
1.0,-13.361808776855469,1.735012173652649
1.0,-13.34924602508545,0.9530627131462097
1.0,-13.33668327331543,1.4720433950424194
1.0,-13.32412052154541,0.8544518947601318
1.0,-13.31155776977539,2.8309168815612793
1.0,-13.298995018005371,0.8482605814933777
1.0,-13.286432266235352,2.208608627319336
1.0,-13.273869514465332,0.5629128217697144
1.0,-13.261306762695312,0.5893323421478271
1.0,-13.248744010925293,0.6042090058326721
1.0,-13.236181259155273,4.790935516357422
1.0,-13.223618507385254,2.146592617034912
1.0,-13.211054801940918,4.209474563598633
1.0,-13.198492050170898,0.7981601357460022
1.0,-13.185929298400879,0.6388877034187317
1.0,-13.17336654663086,3.477365732192993
1.0,-13.16080379486084,0.941612184047699
1.0,-13.14824104309082,1.8678081035614014
1.0,-13.1356782913208,1.9575250148773193
1.0,-13.123115539550781,0.5619375705718994
1.0,-13.110552787780762,1.4094634056091309
1.0,-13.097990036010742,1.955019235610962
1.0,-13.085427284240723,1.237927794456482
1.0,-13.072864532470703,0.9240901470184326
1.0,-13.060301780700684,2.826833486557007
1.0,-13.047739028930664,1.1443350315093994
1.0,-13.035176277160645,3.152078151702881
1.0,-13.022613525390625,1.271909475326538
1.0,-13.010049819946289,2.0253617763519287
1.0,-12.99748706817627,1.7746756076812744
1.0,-12.98492431640625,2.1454858779907227
1.0,-12.97236156463623,1.269286036491394
1.0,-12.959798812866211,1.0547049045562744
1.0,-12.947236061096191,1.6249756813049316
1.0,-12.934673309326172,1.6637321710586548
1.0,-12.922110557556152,0.7025119662284851
1.0,-12.909547805786133,0.8463097214698792
1.0,-12.896985054016113,2.3148250579833984
1.0,-12.884422302246094,1.998071551322937
1.0,-12.871859550476074,1.409272313117981
1.0,-12.859296798706055,3.191875457763672
1.0,-12.846734046936035,2.6933393478393555
1.0,-12.834171295166016,1.6616578102111816
1.0,-12.82160758972168,0.8785179257392883
1.0,-12.80904483795166,0.5774956941604614
1.0,-12.79648208618164,2.321650981903076
1.0,-12.783919334411621,1.7483323812484741
1.0,-12.771356582641602,0.8010833859443665
1.0,-12.758793830871582,2.940843105316162
1.0,-12.746231079101562,1.0610259771347046
1.0,-12.733668327331543,0.5797948241233826
1.0,-12.721105575561523,2.9656386375427246
1.0,-12.708542823791504,1.8729256391525269
1.0,-12.695980072021484,2.83794903755188
1.0,-12.683417320251465,1.9100513458251953
1.0,-12.670854568481445,2.3392481803894043
1.0,-12.658291816711426,1.4725468158721924
1.0,-12.645729064941406,1.7248382568359375
1.0,-12.63316535949707,0.797362744808197
1.0,-12.62060260772705,1.3078498840332031
1.0,-12.608039855957031,1.1425292491912842
1.0,-12.595477104187012,1.5291332006454468
1.0,-12.582914352416992,4.395847797393799
1.0,-12.570351600646973,1.0728098154067993
1.0,-12.557788848876953,4.435763835906982
1.0,-12.545226097106934,0.5879703164100647
1.0,-12.532663345336914,0.8793259859085083
1.0,-12.520100593566895,1.7622367143630981
1.0,-12.507537841796875,2.0931060314178467
1.0,-12.494975090026855,3.7934820652008057
1.0,-12.482412338256836,1.955306053161621
1.0,-12.469849586486816,0.5623414516448975
1.0,-12.457286834716797,3.8894689083099365
1.0,-12.444724082946777,1.2386640310287476
1.0,-12.432160377502441,3.188927412033081
1.0,-12.419597625732422,1.4265401363372803
1.0,-12.407034873962402,0.6077812314033508
1.0,-12.394472122192383,1.7014392614364624
1.0,-12.381909370422363,1.228249430656433
1.0,-12.369346618652344,2.864952325820923
1.0,-12.356783866882324,2.0311179161071777
1.0,-12.344221115112305,1.2158324718475342
1.0,-12.331658363342285,3.8678951263427734
1.0,-12.319095611572266,4.155433654785156
1.0,-12.306532859802246,1.1593364477157593
1.0,-12.293970108032227,1.3763337135314941
1.0,-12.281407356262207,1.5564464330673218
1.0,-12.268844604492188,1.357049822807312
1.0,-12.256281852722168,2.1786248683929443
