a_values,b_values,p0_values,p1_values,p2_values,p3_values,loglikelihood
172542.484375,1.0,-13.5,-4.520380020141602,-0.914726972579956,-0.08084216713905334,6.250002384185791
184573.625,1.0,-12.875,-4.303085803985596,-0.8814182877540588,-0.07893194258213043,2.675177574157715
183745.28125,1.0,-12.25,-4.058722019195557,-0.8430315256118774,-0.07699073106050491,2.6538338661193848
184276.921875,1.0,-11.625,-3.650350332260132,-0.7384394407272339,-0.06764401495456696,2.664177894592285
177615.734375,1.0,-11.0,-3.471480369567871,-0.7221028208732605,-0.06776638329029083,3.7081878185272217
183148.640625,1.4736841917037964,-13.5,-4.384322166442871,-0.8606467247009277,-0.07493800669908524,2.6731247901916504
184133.078125,1.4736841917037964,-12.875,-4.184200286865234,-0.827207624912262,-0.07236506789922714,2.6761717796325684
185417.453125,1.4736841917037964,-12.25,-3.7206783294677734,-0.7114078402519226,-0.0627792552113533,2.7449169158935547
183101.28125,1.4736841917037964,-11.625,-3.984339714050293,-0.8626633286476135,-0.08063410222530365,2.665097951889038
182423.84375,1.4736841917037964,-11.0,-3.6527576446533203,-0.7887915372848511,-0.07469824701547623,2.7010223865509033
188734.390625,1.9473683834075928,-13.5,-4.503171920776367,-0.9027907848358154,-0.07918469607830048,3.3339366912841797
180480.234375,1.9473683834075928,-12.875,-3.8806447982788086,-0.7182517051696777,-0.06149166077375412,2.97627329826355
183596.921875,1.9473683834075928,-12.25,-4.265264511108398,-0.9126293063163757,-0.08364668488502502,2.6560933589935303
180769.0,1.9473683834075928,-11.625,-3.7845399379730225,-0.7810819149017334,-0.07149164378643036,2.902055263519287
180449.25,1.9473683834075928,-11.0,-3.8605751991271973,-0.8654401898384094,-0.08267486840486526,2.956970453262329
175229.765625,2.4210526943206787,-13.5,-4.587587356567383,-0.925958514213562,-0.0808427482843399,4.7204694747924805
182029.9375,2.4210526943206787,-12.875,-4.403515338897705,-0.9139474034309387,-0.08203878998756409,2.736724615097046
183058.484375,2.4210526943206787,-12.25,-3.5788490772247314,-0.6502028703689575,-0.05570582300424576,2.6984708309173584
184069.96875,2.4210526943206787,-11.625,-4.141756057739258,-0.9137513637542725,-0.08534090965986252,2.660475969314575
174795.71875,2.4210526943206787,-11.0,-3.8319053649902344,-0.8457844853401184,-0.07980219274759293,4.931720733642578
185526.6875,2.8947367668151855,-13.5,-4.6192626953125,-0.9416530728340149,-0.08293324708938599,2.747006416320801
183875.328125,2.8947367668151855,-12.875,-4.171957492828369,-0.8223391771316528,-0.07203066349029541,2.667363405227661
176622.90625,2.8947367668151855,-12.25,-4.531539440155029,-1.0114669799804688,-0.09404392540454865,4.085166931152344
189406.671875,2.8947367668151855,-11.625,-3.608165979385376,-0.7101167440414429,-0.06371065974235535,3.5310797691345215
185521.46875,2.8947367668151855,-11.0,-3.7009098529815674,-0.7980911135673523,-0.07501155883073807,2.7402164936065674
182954.59375,3.3684210777282715,-13.5,-4.699849605560303,-0.9691034555435181,-0.0856052041053772,2.675889492034912
172245.625,3.3684210777282715,-12.875,-3.7091612815856934,-0.6422945261001587,-0.052580107003450394,6.503129005432129
175919.75,3.3684210777282715,-12.25,-3.82027530670166,-0.746788740158081,-0.06656461954116821,4.419193267822266
183464.078125,3.3684210777282715,-11.625,-4.165476322174072,-0.9211331009864807,-0.0861012414097786,2.6556785106658936
183815.234375,3.3684210777282715,-11.0,-3.711550712585449,-0.7991822957992554,-0.07490748167037964,2.6542019844055176
183408.90625,3.8421053886413574,-13.5,-4.543916702270508,-0.9068661332130432,-0.07877618074417114,2.671577215194702
186148.921875,3.8421053886413574,-12.875,-4.295129299163818,-0.8635635375976562,-0.07599799335002899,2.8242461681365967
