a_values,b_values,p0_values,p1_values,p2_values,p3_values,loglikelihood
185339.921875,1.0,-13.5,-4.103672981262207,-0.7570202946662903,-0.06416549533605576,2.748208999633789
184077.921875,1.0,-13.0,-3.6508848667144775,-0.6248556971549988,-0.05148475989699364,2.7014622688293457
181433.546875,1.0,-12.5,-3.7488768100738525,-0.7034392356872559,-0.06131509318947792,2.81772518157959
181605.140625,1.0,-12.0,-4.523915767669678,-1.0422511100769043,-0.09905169904232025,2.795152425765991
180448.125,1.0,-11.5,-3.9397103786468506,-0.8599417805671692,-0.08102987706661224,2.9559128284454346
183118.0,1.0,-11.0,-3.5791423320770264,-0.7634112238883972,-0.07218944281339645,2.6636886596679688
182984.59375,2.799999952316284,-13.5,-4.0893096923828125,-0.73991459608078,-0.06147169694304466,2.711944341659546
186820.171875,2.799999952316284,-13.0,-3.921238422393799,-0.716555118560791,-0.06039967015385628,2.947634220123291
183771.09375,2.799999952316284,-12.5,-3.842083215713501,-0.7281264066696167,-0.06314677000045776,2.6772100925445557
185079.390625,2.799999952316284,-12.0,-4.155634880065918,-0.8895917534828186,-0.08186822384595871,2.702601671218872
180541.0625,2.799999952316284,-11.5,-3.8027913570404053,-0.7954873442649841,-0.07323551177978516,2.9401609897613525
184989.484375,2.799999952316284,-11.0,-3.684868574142456,-0.7965360879898071,-0.07527569681406021,2.6990673542022705
182681.515625,4.599999904632568,-13.5,-4.305190086364746,-0.8107616901397705,-0.06815839558839798,2.724196672439575
183720.5,4.599999904632568,-13.0,-4.060513496398926,-0.7573718428611755,-0.06380925327539444,2.6950132846832275
180591.578125,4.599999904632568,-12.5,-4.182644844055176,-0.846310019493103,-0.07485384494066238,2.9430091381073
183938.046875,4.599999904632568,-12.0,-4.201200008392334,-0.8964311480522156,-0.08183072507381439,2.657705545425415
180486.96875,4.599999904632568,-11.5,-3.979778289794922,-0.8520421981811523,-0.07845275849103928,2.950425863265991
183727.015625,4.599999904632568,-11.0,-3.7375378608703613,-0.8013778328895569,-0.07456815987825394,2.656651735305786
181142.5,6.400000095367432,-13.5,-3.829092264175415,-0.6177322864532471,-0.046745095402002335,2.967947006225586
182052.84375,6.400000095367432,-13.0,-4.578927516937256,-0.9465527534484863,-0.0833849236369133,2.7482492923736572
182432.28125,6.400000095367432,-12.5,-4.38349723815918,-0.912645697593689,-0.08117852360010147,2.714500904083252
185991.71875,6.400000095367432,-12.0,-3.5722570419311523,-0.6437779068946838,-0.05393945425748825,2.8560874462127686
184766.359375,6.400000095367432,-11.5,-3.6667096614837646,-0.7212160229682922,-0.06366802752017975,2.712808847427368
185993.953125,6.400000095367432,-11.0,-3.964536190032959,-0.8767293095588684,-0.08176025748252869,2.79453182220459
183769.765625,8.199999809265137,-13.5,-4.490238666534424,-0.861956000328064,-0.07224247604608536,2.7148935794830322
184732.859375,8.199999809265137,-13.0,-4.102020263671875,-0.7525172233581543,-0.06179734691977501,2.759737014770508
181067.1875,8.199999809265137,-12.5,-4.443045139312744,-0.9242856502532959,-0.08160033077001572,2.8736228942871094
185457.515625,8.199999809265137,-12.0,-4.06946325302124,-0.8230339884757996,-0.07228007167577744,2.7665646076202393
184385.625,8.199999809265137,-11.5,-4.072709560394287,-0.8655250668525696,-0.07827077805995941,2.6804115772247314
180396.9375,8.199999809265137,-11.0,-4.189463138580322,-0.9519287347793579,-0.08899818360805511,2.966845989227295
185963.796875,10.0,-13.5,-4.705326080322266,-0.9294695258140564,-0.07827997952699661,2.846296787261963
184685.296875,10.0,-13.0,-4.638083457946777,-0.9450274109840393,-0.08139767497777939,2.7192087173461914
185130.390625,10.0,-12.5,-4.572925567626953,-0.9618343114852905,-0.08469231426715851,2.733476400375366
182930.609375,10.0,-12.0,-3.8829824924468994,-0.739529013633728,-0.06244121491909027,2.743825674057007
182645.578125,10.0,-11.5,-3.942112445831299,-0.8092896342277527,-0.07191458344459534,2.7299306392669678
181950.734375,10.0,-11.0,-4.274149417877197,-0.9706838726997375,-0.08993754535913467,2.7486178874969482
