b_values,p0_values,loglikelihood
5.5,-14.0,156629.31
5.5,-13.842105,3656.894
5.5,-13.684211,45524.37
5.5,-13.526316,1082.5704
5.5,-13.368422,52235.355
5.5,-13.210526,5089.296
5.5,-13.052631,31.2861
5.5,-12.894737,5657.5015
5.5,-12.736842,158749.12
5.5,-12.578947,28924.125
5.5,-12.421053,34333.56
5.5,-12.263158,2957.8484
5.5,-12.105263,4980.403
5.5,-11.947369,39488.695
5.5,-11.789474,94.52032
5.5,-11.631578,6.5157704
5.5,-11.473684,8974.534
5.5,-11.315789,67777.19
5.5,-11.157895,25677.303
5.5,-11.0,200.37242
5.368421,-14.0,6168.773
5.368421,-13.842105,166451.94
5.368421,-13.684211,62837.56
5.368421,-13.526316,60.964626
5.368421,-13.368422,2421.8674
5.368421,-13.210526,108990.32
5.368421,-13.052631,496.06583
5.368421,-12.894737,82.49152
5.368421,-12.736842,2586.6824
5.368421,-12.578947,2011.3851
5.368421,-12.421053,12114.639
5.368421,-12.263158,12993.132
5.368421,-12.105263,109207.49
5.368421,-11.947369,768.56305
5.368421,-11.789474,4529.4556
5.368421,-11.631578,14199.693
5.368421,-11.473684,5912.1865
5.368421,-11.315789,23663.363
5.368421,-11.157895,17112.145
5.368421,-11.0,1140.8015
5.236842,-14.0,1951.1438
5.236842,-13.842105,24131.744
5.236842,-13.684211,2782.7327
5.236842,-13.526316,2209.2153
5.236842,-13.368422,68998.75
5.236842,-13.210526,1499.0696
5.236842,-13.052631,95.08983
5.236842,-12.894737,16251.173
5.236842,-12.736842,756.436
5.236842,-12.578947,6719.65
5.236842,-12.421053,488.59238
5.236842,-12.263158,28973.08
5.236842,-12.105263,6804.543
5.236842,-11.947369,33665.18
5.236842,-11.789474,70872.914
5.236842,-11.631578,8024.3623
5.236842,-11.473684,3.0516357
5.236842,-11.315789,287560.25
5.236842,-11.157895,335.78598
5.236842,-11.0,277.05325
5.105263,-14.0,170467.1
5.105263,-13.842105,64489.453
5.105263,-13.684211,12038.244
5.105263,-13.526316,184344.45
5.105263,-13.368422,1144.6865
5.105263,-13.210526,6556.3438
5.105263,-13.052631,45182.586
5.105263,-12.894737,168157.56
5.105263,-12.736842,77297.086
5.105263,-12.578947,9602.997
5.105263,-12.421053,5562.073
5.105263,-12.263158,1549.9867
5.105263,-12.105263,3169.7627
5.105263,-11.947369,5.7852325
