b_values,p0_values,loglikelihood
5.5,-14.0,166586.66
5.5,-13.842105,3719.3716
5.5,-13.684211,20149.365
5.5,-13.526316,24355.166
5.5,-13.368422,5352.4854
5.5,-13.210526,11697.416
5.5,-13.052631,301717.03
5.5,-12.894737,149.82593
5.5,-12.736842,4.2040977
5.5,-12.578947,4331.706
5.5,-12.421053,104481.5
5.5,-12.263158,39.46394
5.5,-12.105263,3002.734
5.5,-11.947369,35.78658
5.5,-11.789474,26688.686
5.5,-11.631578,24.476654
5.5,-11.473684,24381.541
5.5,-11.315789,5176.4814
5.5,-11.157895,14.819808
5.5,-11.0,100.46747
5.631579,-14.0,2691.0486
5.631579,-13.842105,15662.323
5.631579,-13.684211,8799.936
5.631579,-13.526316,47231.87
5.631579,-13.368422,36068.19
5.631579,-13.210526,3062.4253
5.631579,-13.052631,91213.41
5.631579,-12.894737,132464.67
5.631579,-12.736842,9628.164
5.631579,-12.578947,8488.358
5.631579,-12.421053,6.189118
5.631579,-12.263158,38369.43
5.631579,-12.105263,19080.922
5.631579,-11.947369,9349.809
5.631579,-11.789474,45.52312
5.631579,-11.631578,83393.84
5.631579,-11.473684,1505.5071
5.631579,-11.315789,8352.192
5.631579,-11.157895,2979.9946
5.631579,-11.0,5.4663105
5.763158,-14.0,6878.8237
5.763158,-13.842105,63036.6
5.763158,-13.684211,1046.5007
5.763158,-13.526316,37402.125
5.763158,-13.368422,46670.043
5.763158,-13.210526,1955.8047
5.763158,-13.052631,5178.381
5.763158,-12.894737,152156.95
5.763158,-12.736842,3571.9324
5.763158,-12.578947,1558.4701
5.763158,-12.421053,3.7704608
5.763158,-12.263158,1613.0931
5.763158,-12.105263,366.3941
5.763158,-11.947369,8697.656
5.763158,-11.789474,353.36124
5.763158,-11.631578,29.649235
5.763158,-11.473684,17854.738
5.763158,-11.315789,2696.4565
5.763158,-11.157895,147.04297
5.763158,-11.0,6887.278
5.894737,-14.0,4833.5015
5.894737,-13.842105,36092.766
5.894737,-13.684211,62680.414
5.894737,-13.526316,38275.3
5.894737,-13.368422,13759.754
5.894737,-13.210526,222.13103
5.894737,-13.052631,644.2976
5.894737,-12.894737,27559.678
5.894737,-12.736842,8460.604
5.894737,-12.578947,11124.63
5.894737,-12.421053,3936.0293
5.894737,-12.263158,523.73474
5.894737,-12.105263,30220.852
5.894737,-11.947369,18957.973
5.894737,-11.789474,5180.3525
5.894737,-11.631578,109.0419
5.894737,-11.473684,18.048412
5.894737,-11.315789,5227.1475
5.894737,-11.157895,4.745732
5.894737,-11.0,3594.5042
6.0263157,-14.0,37592.54
6.0263157,-13.842105,5071.9966
6.0263157,-13.684211,62438.242
6.0263157,-13.526316,57418.203
6.0263157,-13.368422,22190.113
6.0263157,-13.210526,10.000091
6.0263157,-13.052631,50394.293
6.0263157,-12.894737,185360.86
6.0263157,-12.736842,10169.051
6.0263157,-12.578947,276974.84
6.0263157,-12.421053,531.4919
6.0263157,-12.263158,1044.8536
6.0263157,-12.105263,6736.0464
6.0263157,-11.947369,1102.756
6.0263157,-11.789474,361.0133
6.0263157,-11.631578,12.172204
6.0263157,-11.473684,1093.6791
6.0263157,-11.315789,83169.445
6.0263157,-11.157895,1205.005
6.0263157,-11.0,1125.4424
6.1578946,-14.0,17245.074
6.1578946,-13.842105,45095.656
6.1578946,-13.684211,152429.61
6.1578946,-13.526316,153722.5
6.1578946,-13.368422,19278.549
6.1578946,-13.210526,5.6359105
6.1578946,-13.052631,158772.6
6.1578946,-12.894737,26562.072
6.1578946,-12.736842,56816.742
6.1578946,-12.578947,124165.77
6.1578946,-12.421053,5095.9814
6.1578946,-12.263158,6841.138
6.1578946,-12.105263,1961.6797
6.1578946,-11.947369,52.256912
6.1578946,-11.789474,114.45721
6.1578946,-11.631578,817.5939
6.1578946,-11.473684,6312.6787
6.1578946,-11.315789,44.338783
6.1578946,-11.157895,373.06207
6.1578946,-11.0,42479.242
6.2894735,-14.0,35583.465
6.2894735,-13.842105,20175.86
6.2894735,-13.684211,7268.5034
6.2894735,-13.526316,3610.4
6.2894735,-13.368422,21398.865
6.2894735,-13.210526,2753.2722
6.2894735,-13.052631,65825.87
6.2894735,-12.894737,1231.2609
6.2894735,-12.736842,22790.72
6.2894735,-12.578947,6890.69
6.2894735,-12.421053,1022.8424
6.2894735,-12.263158,84556.836
6.2894735,-12.105263,2418.8613
6.2894735,-11.947369,19789.045
6.2894735,-11.789474,8356.308
6.2894735,-11.631578,834.2097
6.2894735,-11.473684,1905.6222
6.2894735,-11.315789,42952.023
6.2894735,-11.157895,10101.311
6.2894735,-11.0,958.0804
6.4210525,-14.0,76.49514
6.4210525,-13.842105,360.95648
6.4210525,-13.684211,646.41754
6.4210525,-13.526316,3589.341
6.4210525,-13.368422,9541.219
6.4210525,-13.210526,7227.208
6.4210525,-13.052631,5683.828
6.4210525,-12.894737,4318.885
6.4210525,-12.736842,7967.891
6.4210525,-12.578947,34846.254
6.4210525,-12.421053,33807.02
6.4210525,-12.263158,6737.356
6.4210525,-12.105263,1051.3705
6.4210525,-11.947369,42876.61
6.4210525,-11.789474,162.57129
6.4210525,-11.631578,5807.568
6.4210525,-11.473684,251.98807
6.4210525,-11.315789,30.007551
6.4210525,-11.157895,4945.682
