b_values,p0_values,loglikelihood
3.0,-15.0,224027.52
3.0,-14.954128,72498.31
3.0,-14.908257,7.391092
3.0,-14.862386,1889.4977
3.0,-14.816514,15166.867
3.0,-14.770642,4007.3042
3.0,-14.724771,89.05348
3.0,-14.678899,62236.0
3.0,-14.633027,142262.06
3.0,-14.587156,486.50513
3.0,-14.541285,30539.795
3.0,-14.495413,34684.715
3.0,-14.449541,183.72006
3.0,-14.403669,1040.6521
3.0,-14.357799,1092.1975
3.0,-14.311927,18498.594
3.0,-14.266055,79.41115
3.0,-14.220183,1714.4515
3.0,-14.174312,21677.914
3.0,-14.12844,9032.012
3.0,-14.082569,823.39075
3.0,-14.036697,8599.511
3.0,-13.990826,54150.09
3.0,-13.944954,15678.203
3.0,-13.899082,33.868523
3.0,-13.853211,25756.764
3.0,-13.80734,26622.07
3.0,-13.761468,4374.955
3.0,-13.715596,394.82263
3.0,-13.669724,15763.619
3.0,-13.623854,43676.383
3.0,-13.577982,26237.533
3.0,-13.53211,987.59106
3.0,-13.4862385,3787.0781
3.0,-13.440367,21558.336
3.0,-13.394495,723.3843
3.0,-13.348624,78685.586
3.0,-13.3027525,8017.4077
3.0,-13.256881,1903.2097
3.0,-13.211009,929.46375
3.0,-13.165137,3312.604
3.0,-13.1192665,1767.3527
3.0,-13.073395,94207.16
3.0,-13.027523,1857.3289
3.0,-12.981651,101852.9
3.0,-12.93578,587.0514
3.0,-12.889908,12682.662
3.0,-12.844037,26310.867
3.0,-12.798165,6328.2275
3.0,-12.752294,66.15787
3.0,-12.706422,2803.2747
3.0,-12.66055,12226.19
3.0,-12.614679,27012.777
3.0,-12.568808,4692.825
3.0,-12.522936,306.6676
3.0,-12.477064,12749.652
3.0,-12.431192,34787.746
3.0,-12.385321,79959.79
3.0,-12.33945,143402.72
3.0,-12.293578,310.24606
3.0,-12.247706,90647.7
3.0,-12.201835,4298.9165
3.0,-12.155963,5481.255
3.0,-12.110092,128878.25
3.0,-12.06422,1628.2557
3.0,-12.018349,199993.61
3.0,-11.972477,102322.4
3.0,-11.926605,27.255169
3.0,-11.8807335,60.729904
3.0,-11.834863,76930.586
3.0,-11.788991,20630.865
3.0,-11.743119,4742.235
3.0,-11.6972475,20.22872
3.0,-11.651376,5.2730393
3.0,-11.605505,19069.182
3.0,-11.559633,10788.802
3.0,-11.5137615,58121.23
3.0,-11.46789,23942.617
3.0,-11.422018,105904.37
3.0,-11.376146,27891.69
3.0,-11.330276,27392.494
3.0,-11.284404,5.924036
3.0,-11.238532,64895.176
3.0,-11.19266,12777.223
