a_values,b_values,p0_values,p1_values,p2_values,p3_values,loglikelihood
185098.578125,1.0,-13.5,-4.1029438972473145,-0.7586820721626282,-0.06451937556266785,0.7184500694274902
184908.125,1.0,-13.368420600891113,-4.3043131828308105,-0.8452011346817017,-0.07400920987129211,0.6619073152542114
185649.359375,1.0,-13.236842155456543,-3.7795310020446777,-0.655771017074585,-0.05420607328414917,0.8833892941474915
183215.90625,1.0,-13.105262756347656,-3.7611544132232666,-0.6634648442268372,-0.055784039199352264,0.6201507449150085
185507.765625,1.0,-12.973684310913086,-3.7465970516204834,-0.6660231947898865,-0.05617627128958702,0.8297079205513
182873.203125,1.0,-12.8421049118042,-3.751671314239502,-0.6789721846580505,-0.057954542338848114,0.633536159992218
184051.65625,1.0,-12.710526466369629,-3.909507989883423,-0.7536320090293884,-0.06664370000362396,0.575915515422821
182801.625,1.0,-12.578947067260742,-4.057116508483887,-0.8175432682037354,-0.07352152466773987,0.6126587986946106
181857.34375,1.0,-12.447368621826172,-3.812547206878662,-0.7345366477966309,-0.06501011550426483,0.8040552735328674
184440.53125,1.0,-12.315789222717285,-4.125629901885986,-0.8659679889678955,-0.07950586825609207,0.6012154817581177
184747.59375,1.0,-12.184210777282715,-4.1590895652771,-0.8897297382354736,-0.08243554830551147,0.6490361094474792
184874.96875,1.0,-12.052631378173828,-4.011517524719238,-0.8436119556427002,-0.07784305512905121,0.6621481776237488
184146.578125,1.0,-11.921052932739258,-3.794452428817749,-0.77176833152771,-0.07058632373809814,0.5709850788116455
183408.28125,1.0,-11.789473533630371,-4.069087028503418,-0.8872688412666321,-0.08326146006584167,0.588850200176239
182662.515625,1.0,-11.6578950881958,-3.6259427070617676,-0.7287300229072571,-0.06672738492488861,0.6338680386543274
185501.8125,1.0,-11.526315689086914,-4.021669387817383,-0.8924842476844788,-0.08474191278219223,0.8284323215484619
186023.5625,1.0,-11.394737243652344,-3.71386456489563,-0.7851303219795227,-0.07361666113138199,0.9522011280059814
182332.078125,1.0,-11.263157844543457,-3.5128490924835205,-0.718823254108429,-0.06689288467168808,0.6920841932296753
182315.40625,1.0,-11.131579399108887,-3.838230848312378,-0.8551654815673828,-0.08193163573741913,0.7322591543197632
185341.375,1.0,-11.0,-3.85245418548584,-0.8713927268981934,-0.08403947204351425,0.8047295212745667
181809.359375,1.4736841917037964,-13.5,-3.7154576778411865,-0.607738196849823,-0.04820241034030914,0.9099418520927429
182864.359375,1.4736841917037964,-13.368420600891113,-4.5586256980896,-0.937061071395874,-0.08336103707551956,0.610537052154541
183283.09375,1.4736841917037964,-13.236842155456543,-4.610581398010254,-0.9707164168357849,-0.08762043714523315,0.5729250907897949
182124.359375,1.4736841917037964,-13.105262756347656,-3.8069674968719482,-0.6753250956535339,-0.05657046660780907,0.7778707146644592
184259.53125,1.4736841917037964,-12.973684310913086,-3.546738386154175,-0.5863415002822876,-0.04742088541388512,0.663902997970581
182131.8125,1.4736841917037964,-12.8421049118042,-4.171643257141113,-0.8366364240646362,-0.07457227259874344,0.730280339717865
182328.046875,1.4736841917037964,-12.710526466369629,-4.414886951446533,-0.9407088756561279,-0.08608401566743851,0.6991708874702454
181487.40625,1.4736841917037964,-12.578947067260742,-3.6534903049468994,-0.6598158478736877,-0.0564228892326355,0.9377212524414062
182587.84375,1.4736841917037964,-12.447368621826172,-3.9047648906707764,-0.7674309611320496,-0.06835994124412537,0.64642333984375
182378.0625,1.4736841917037964,-12.315789222717285,-3.8539540767669678,-0.7584125995635986,-0.06773696094751358,0.6827699542045593
182933.25,1.4736841917037964,-12.184210777282715,-4.29805850982666,-0.9397703409194946,-0.08754455298185349,0.6220491528511047
186101.828125,1.4736841917037964,-12.052631378173828,-3.980647325515747,-0.8294135332107544,-0.07616352289915085,0.9713702201843262
181301.09375,1.4736841917037964,-11.921052932739258,-3.8857431411743164,-0.8037489056587219,-0.07378444820642471,0.9683214426040649
184552.984375,1.4736841917037964,-11.789473533630371,-4.10815954208374,-0.9000099897384644,-0.08447648584842682,0.6326308846473694
184156.328125,1.4736841917037964,-11.6578950881958,-3.896395683288574,-0.8300743103027344,-0.07741228491067886,0.5792776346206665
183788.140625,1.4736841917037964,-11.526315689086914,-3.522725820541382,-0.6968424320220947,-0.06345675885677338,0.5588586330413818
182662.421875,1.4736841917037964,-11.394737243652344,-4.159687042236328,-0.9538180828094482,-0.09151609987020493,0.7011619806289673
182122.015625,1.4736841917037964,-11.263157844543457,-3.752472400665283,-0.8078761696815491,-0.07621701806783676,0.7462496757507324
183503.359375,1.4736841917037964,-11.131579399108887,-4.117763519287109,-0.9587008953094482,-0.09272456914186478,0.6493051648139954
181324.421875,1.4736841917037964,-11.0,-3.5505528450012207,-0.7525748014450073,-0.07109863311052322,0.9663370847702026
182470.109375,1.9473683834075928,-13.5,-4.328240394592285,-0.8408143520355225,-0.07303344458341599,0.672197163105011
183585.53125,1.9473683834075928,-13.368420600891113,-3.549506425857544,-0.5542504191398621,-0.04285532608628273,0.6959255337715149
184672.9375,1.9473683834075928,-13.236842155456543,-4.5056304931640625,-0.9287496209144592,-0.08303084224462509,0.6208260655403137
184053.359375,1.9473683834075928,-13.105262756347656,-4.251727104187012,-0.8424683809280396,-0.07419857382774353,0.5656337141990662
184889.625,1.9473683834075928,-12.973684310913086,-3.902604103088379,-0.7199884057044983,-0.06152161955833435,0.6861501932144165
186107.46875,1.9473683834075928,-12.8421049118042,-3.9715802669525146,-0.7572596073150635,-0.06588758528232574,0.9849900603294373
184422.734375,1.9473683834075928,-12.710526466369629,-4.166785717010498,-0.8430437445640564,-0.07545582950115204,0.5914807915687561
185919.640625,1.9473683834075928,-12.578947067260742,-4.354275226593018,-0.926298975944519,-0.08479412645101547,0.9140630960464478
181549.890625,1.9473683834075928,-12.447368621826172,-4.039085388183594,-0.8157321810722351,-0.07328736037015915,0.8850932121276855
183161.15625,1.9473683834075928,-12.315789222717285,-4.01241397857666,-0.8163741230964661,-0.0737372636795044,0.5748283863067627
183818.34375,1.9473683834075928,-12.184210777282715,-3.6986305713653564,-0.703365683555603,-0.06168080121278763,0.5747063159942627
182335.515625,1.9473683834075928,-12.052631378173828,-3.8211288452148438,-0.7642509341239929,-0.06887201219797134,0.6894035339355469
183691.546875,1.9473683834075928,-11.921052932739258,-3.988098621368408,-0.8400114178657532,-0.0774443969130516,0.5579415559768677
184343.890625,1.9473683834075928,-11.789473533630371,-4.232326984405518,-0.9452546834945679,-0.08915723115205765,0.6207473278045654
183506.296875,1.9473683834075928,-11.6578950881958,-4.023685455322266,-0.8759797215461731,-0.08211195468902588,0.5732983946800232
184167.21875,1.9473683834075928,-11.526315689086914,-3.8914966583251953,-0.8361673951148987,-0.07823340594768524,0.5799902677536011
182857.765625,1.9473683834075928,-11.394737243652344,-3.979243516921997,-0.881023645401001,-0.0834471583366394,0.631214439868927
182210.234375,1.9473683834075928,-11.263157844543457,-3.5673539638519287,-0.733712375164032,-0.06804125010967255,0.714693009853363
183482.6875,1.9473683834075928,-11.131579399108887,-3.600105047225952,-0.7563003897666931,-0.07075848430395126,0.562199592590332
182161.140625,1.9473683834075928,-11.0,-3.776578426361084,-0.836279571056366,-0.07983731478452682,0.7479875683784485
185258.546875,2.4210526943206787,-13.5,-3.9085323810577393,-0.6759610772132874,-0.05508324131369591,0.8085952401161194
182173.59375,2.4210526943206787,-13.368420600891113,-3.772871971130371,-0.63514244556427,-0.05112287029623985,0.814597487449646
182773.71875,2.4210526943206787,-13.236842155456543,-3.620628833770752,-0.5863511562347412,-0.0461578406393528,0.7337281703948975
182722.703125,2.4210526943206787,-13.105262756347656,-4.5418877601623535,-0.9505614042282104,-0.0855281874537468,0.6216990351676941
182729.265625,2.4210526943206787,-12.973684310913086,-4.13300085067749,-0.80708909034729,-0.07079094648361206,0.6319354772567749
184394.375,2.4210526943206787,-12.8421049118042,-3.9017162322998047,-0.7287025451660156,-0.06272785365581512,0.6173320412635803
