a_values,b_values,p0_values,p1_values,p2_values,p3_values,loglikelihood
183177.28125,1.0,-13.5,-4.382853984832764,-0.8655921220779419,-0.07592065632343292,0.5747596025466919
183543.734375,1.0,-13.368420600891113,-4.288512229919434,-0.8405221700668335,-0.07364153861999512,0.5586606860160828
186326.859375,1.0,-13.236842155456543,-3.8247711658477783,-0.6759548187255859,-0.056639768183231354,1.0978914499282837
183774.84375,1.0,-13.105262756347656,-4.415783405303955,-0.911259114742279,-0.08199311792850494,0.5566868782043457
183702.1875,1.0,-12.973684310913086,-3.918734312057495,-0.7315430641174316,-0.06314195692539215,0.5719836354255676
188924.59375,1.0,-12.8421049118042,-4.30031681060791,-0.8896200060844421,-0.08052651584148407,2.5135834217071533
183629.375,1.0,-12.710526466369629,-4.4375901222229,-0.9526901841163635,-0.08761455118656158,0.5731678605079651
183665.828125,1.0,-12.578947067260742,-4.0440239906311035,-0.8109241127967834,-0.07265869528055191,0.5563543438911438
183142.28125,1.0,-12.447368621826172,-4.029736042022705,-0.8178495168685913,-0.07392925024032593,0.5776450037956238
183783.671875,1.0,-12.315789222717285,-4.10485315322876,-0.8580352663993835,-0.07866028696298599,0.5609248280525208
183712.015625,1.0,-12.184210777282715,-3.7373170852661133,-0.7279245853424072,-0.06511291116476059,0.5592281222343445
183060.765625,1.0,-12.052631378173828,-3.7166450023651123,-0.7309566140174866,-0.06582722812891006,0.5869302749633789
184781.34375,1.0,-11.921052932739258,-3.7502715587615967,-0.7545576691627502,-0.06871858984231949,0.6404135227203369
183454.046875,1.0,-11.789473533630371,-3.724714994430542,-0.7561222910881042,-0.06931513547897339,0.5610517859458923
183413.40625,1.0,-11.6578950881958,-3.850184917449951,-0.8152900338172913,-0.07604575902223587,0.5710552930831909
183923.90625,1.0,-11.526315689086914,-3.727231740951538,-0.7790720462799072,-0.07255695015192032,0.56503826379776
183751.65625,1.0,-11.394737243652344,-3.6337475776672363,-0.754246711730957,-0.07029612362384796,0.5602785348892212
183738.78125,1.0,-11.263157844543457,-3.5655581951141357,-0.7390583157539368,-0.0690605491399765,0.5601906776428223
186109.4375,1.0,-11.131579399108887,-3.881321430206299,-0.8717919588088989,-0.08372066169977188,1.021204948425293
183757.25,1.0,-11.0,-3.4151031970977783,-0.7026885747909546,-0.0658905878663063,0.560004711151123
183229.03125,1.2105263471603394,-13.5,-4.287057876586914,-0.8269432783126831,-0.07162947207689285,0.577426552772522
183897.140625,1.2105263471603394,-13.368420600891113,-4.316877365112305,-0.8501793742179871,-0.07458753138780594,0.5591327548027039
181609.84375,1.2105263471603394,-13.236842155456543,-3.68536639213562,-0.6199266314506531,-0.05042451620101929,0.9415494203567505
183838.59375,1.2105263471603394,-13.105262756347656,-4.218570232391357,-0.8341965675354004,-0.07363709807395935,0.5572517514228821
182985.5625,1.2105263471603394,-12.973684310913086,-4.328810691833496,-0.8875808715820312,-0.07975482940673828,0.5911363363265991
183182.484375,1.2105263471603394,-12.8421049118042,-4.141313552856445,-0.8267061710357666,-0.07363604754209518,0.5740281939506531
174838.015625,1.2105263471603394,-12.710526466369629,-4.006176471710205,-0.7856799364089966,-0.06961918622255325,6.180714130401611
174529.890625,1.2105263471603394,-12.578947067260742,-3.655080795288086,-0.6625329256057739,-0.05687969550490379,6.602743625640869
183300.359375,1.2105263471603394,-12.447368621826172,-4.05134391784668,-0.824141800403595,-0.07444028556346893,0.5668462514877319
183897.265625,1.2105263471603394,-12.315789222717285,-3.914989471435547,-0.7838265299797058,-0.07061322778463364,0.5584220886230469
183480.484375,1.2105263471603394,-12.184210777282715,-3.8846375942230225,-0.7819521427154541,-0.07068714499473572,0.5594875812530518
183554.09375,1.2105263471603394,-12.052631378173828,-3.7212140560150146,-0.7319067120552063,-0.06588161736726761,0.5596420168876648
183553.953125,1.2105263471603394,-11.921052932739258,-3.7420732975006104,-0.7506917715072632,-0.0682651624083519,0.55770343542099
183710.0,1.2105263471603394,-11.789473533630371,-3.809187173843384,-0.7872105836868286,-0.07254616916179657,0.5576815009117126
183875.703125,1.2105263471603394,-11.6578950881958,-3.796316623687744,-0.7932968139648438,-0.07359333336353302,0.5622987747192383
180539.546875,1.2105263471603394,-11.526315689086914,-3.6570982933044434,-0.7508456110954285,-0.06943763792514801,1.272160530090332
183408.25,1.2105263471603394,-11.394737243652344,-3.631711006164551,-0.7521085143089294,-0.06996636837720871,0.5647395849227905
189470.515625,1.2105263471603394,-11.263157844543457,-3.893024444580078,-0.8637430667877197,-0.08234775066375732,2.97863507270813
183778.453125,1.2105263471603394,-11.131579399108887,-3.602433919906616,-0.7629322409629822,-0.07191693037748337,0.5646020174026489
183601.875,1.2105263471603394,-11.0,-3.492734909057617,-0.7311161160469055,-0.0688333660364151,0.5623371601104736
177446.046875,1.4210526943206787,-13.5,-4.136241912841797,-0.7695331573486328,-0.06555546075105667,3.376702070236206
183713.375,1.4210526943206787,-13.368420600891113,-4.003246784210205,-0.7274046540260315,-0.06123492866754532,0.5894185900688171
183892.140625,1.4210526943206787,-13.236842155456543,-4.432711601257324,-0.9040835499763489,-0.08063416182994843,0.5560412406921387
176958.890625,1.4210526943206787,-13.105262756347656,-3.7786526679992676,-0.6647749543190002,-0.05546335130929947,3.854905366897583
177861.0625,1.4210526943206787,-12.973684310913086,-4.278810024261475,-0.8670635223388672,-0.07745938748121262,2.994528293609619
184229.484375,1.4210526943206787,-12.8421049118042,-4.272561073303223,-0.8766449093818665,-0.07897308468818665,0.5748969912528992
183614.59375,1.4210526943206787,-12.710526466369629,-3.851536512374878,-0.7257975339889526,-0.06318382918834686,0.5710317492485046
183845.40625,1.4210526943206787,-12.578947067260742,-3.7962968349456787,-0.7152859568595886,-0.062420912086963654,0.5717175602912903
184210.421875,1.4210526943206787,-12.447368621826172,-4.101957321166992,-0.8429056406021118,-0.07641616463661194,0.5740171074867249
176785.03125,1.4210526943206787,-12.315789222717285,-3.6367270946502686,-0.675993800163269,-0.05899345502257347,3.996583938598633
183787.515625,1.4210526943206787,-12.184210777282715,-3.9108846187591553,-0.7915635704994202,-0.07170207053422928,0.5557652115821838
184217.09375,1.4210526943206787,-12.052631378173828,-3.768491268157959,-0.7484108805656433,-0.06752106547355652,0.5760983228683472
184015.671875,1.4210526943206787,-11.921052932739258,-3.7094054222106934,-0.7356974482536316,-0.06645224243402481,0.5645988583564758
183611.34375,1.4210526943206787,-11.789473533630371,-3.7228291034698486,-0.751765787601471,-0.06855807453393936,0.5568416118621826
183252.390625,1.4210526943206787,-11.6578950881958,-3.5016536712646484,-0.6789332032203674,-0.06125175952911377,0.5756059885025024
183379.09375,1.4210526943206787,-11.526315689086914,-3.6684746742248535,-0.752659261226654,-0.06941572576761246,0.5647280216217041
183519.921875,1.4210526943206787,-11.394737243652344,-4.0078444480896,-0.8952949643135071,-0.08521777391433716,0.5970625877380371
183304.609375,1.4210526943206787,-11.263157844543457,-3.4365406036376953,-0.6867612600326538,-0.0632513239979744,0.5686256289482117
183826.234375,1.4210526943206787,-11.131579399108887,-3.7635657787323,-0.8236134052276611,-0.07833372801542282,0.5784712433815002
183218.546875,1.4210526943206787,-11.0,-3.3981075286865234,-0.6933857798576355,-0.0646863728761673,0.5743117332458496
183589.109375,1.6315789222717285,-13.5,-4.29424524307251,-0.827887773513794,-0.07161565870046616,0.5645066499710083
184017.6875,1.6315789222717285,-13.368420600891113,-4.465405464172363,-0.9046387076377869,-0.0802350789308548,0.5602145195007324
177486.3125,1.6315789222717285,-13.236842155456543,-3.7511861324310303,-0.6424145102500916,-0.05262579023838043,3.3846142292022705
183620.21875,1.6315789222717285,-13.105262756347656,-4.257047176361084,-0.8464219570159912,-0.0747612789273262,0.5557998418807983
