a_values,b_values,p0_values,p1_values,p2_values,p3_values,loglikelihood
175960.75,1.0,-13.754380226135254,-5.199999809265137,-1.153141736984253,-0.10549210757017136,4.9131855964660645
182132.90625,1.0,-13.549532890319824,-5.110526084899902,-1.1326351165771484,-0.10358860343694687,0.8264921307563782
179897.703125,1.0,-13.8352689743042,-5.021052360534668,-1.0743467807769775,-0.0964888408780098,1.6402724981307983
186959.5,1.0,-13.52903938293457,-4.931578636169434,-1.0640778541564941,-0.09615476429462433,1.393207311630249
182616.75,1.0,-12.889785766601562,-4.842104911804199,-1.0893269777297974,-0.10136054456233978,0.7216291427612305
181561.3125,1.0,-13.603565216064453,-4.752631664276123,-0.9915738105773926,-0.08840104192495346,0.9102545380592346
177811.8125,1.0,-13.719871520996094,-4.663157939910889,-0.9544564485549927,-0.08474971354007721,3.0361995697021484
179815.59375,1.0,-12.93091106414795,-4.573684215545654,-0.9863004088401794,-0.0905369445681572,1.6557048559188843
177190.03125,1.0,-11.96258544921875,-4.48421049118042,-1.0190699100494385,-0.09559353440999985,3.7736527919769287
175645.671875,1.0,-11.642117500305176,-4.3947367668151855,-1.022855520248413,-0.09805361181497574,5.313427925109863
187147.265625,1.0,-11.899576187133789,-4.305263042449951,-0.9702751636505127,-0.09197323024272919,1.4696435928344727
185174.859375,1.0,-12.57606315612793,-4.215789318084717,-0.8837019205093384,-0.08109994232654572,0.7257490754127502
187506.9375,1.0,-13.301251411437988,-4.126315593719482,-0.7852318286895752,-0.06804976612329483,1.6057584285736084
187084.234375,1.0,-12.826804161071777,-4.036841869354248,-0.7897648215293884,-0.06987595558166504,1.3792428970336914
181946.78125,1.0,-12.757596015930176,-3.9473683834075928,-0.7574634552001953,-0.0662614107131958,0.7853736281394958
187386.40625,1.0,-11.57798957824707,-3.8578946590423584,-0.8381209373474121,-0.08000104129314423,1.6182183027267456
181028.953125,1.0,-11.507402420043945,-3.768420934677124,-0.8030129671096802,-0.0758093073964119,1.0920578241348267
173407.390625,1.0,-12.03726577758789,-3.6789474487304688,-0.7296798825263977,-0.0668829008936882,8.192181587219238
183552.96875,1.0,-11.560543060302734,-3.5894737243652344,-0.7236563563346863,-0.06655024737119675,0.5586371421813965
174192.109375,1.0,-12.973464965820312,-3.5,-0.5727624297142029,-0.04631945863366127,7.1049675941467285
174062.40625,1.2105263471603394,-13.732711791992188,-5.199999809265137,-1.153234839439392,-0.10543118417263031,7.272892951965332
177518.03125,1.2105263471603394,-13.6698637008667,-5.110526084899902,-1.120569109916687,-0.10177413374185562,3.3693883419036865
180456.8125,1.2105263471603394,-13.538124084472656,-5.021052360534668,-1.101242184638977,-0.10048489272594452,1.3595085144042969
177896.5625,1.2105263471603394,-13.46550464630127,-4.931578636169434,-1.0705899000167847,-0.09718858450651169,3.019014835357666
185254.40625,1.2105263471603394,-13.461262702941895,-4.842104911804199,-1.032774806022644,-0.09278102219104767,0.8023332357406616
180430.96875,1.2105263471603394,-13.14788818359375,-4.752631664276123,-1.022369623184204,-0.0923822745680809,1.4226804971694946
177386.328125,1.2105263471603394,-13.402918815612793,-4.663157939910889,-0.9720583558082581,-0.08675183355808258,3.4382147789001465
183837.703125,1.2105263471603394,-12.724127769470215,-4.573684215545654,-1.0008866786956787,-0.09248559176921844,0.5899733901023865
173482.84375,1.2105263471603394,-13.432376861572266,-4.48421049118042,-0.8977418541908264,-0.07839814573526382,8.074060440063477
180884.421875,1.2105263471603394,-12.939069747924805,-4.3947367668151855,-0.9139245748519897,-0.08250076323747635,1.1261887550354004
184115.765625,1.2105263471603394,-13.301562309265137,-4.305263042449951,-0.8433015942573547,-0.07327749580144882,0.5938534736633301
182498.40625,1.2105263471603394,-11.55278205871582,-4.215789318084717,-0.9589304327964783,-0.09124353528022766,0.7390099167823792
182907.328125,1.2105263471603394,-12.33473014831543,-4.126315593719482,-0.867318868637085,-0.07988189905881882,0.6110065579414368
183461.828125,1.2105263471603394,-11.791031837463379,-4.036841869354248,-0.8746833801269531,-0.08193167299032211,0.5788150429725647
177726.421875,1.2105263471603394,-11.663355827331543,-3.9473683834075928,-0.8458191156387329,-0.078719362616539,3.1351516246795654
181794.625,1.2105263471603394,-11.705100059509277,-3.8578946590423584,-0.8167733550071716,-0.07633224874734879,0.8277134895324707
188398.3125,1.2105263471603394,-11.10759449005127,-3.768420934677124,-0.8288946151733398,-0.07907695323228836,2.1661674976348877
185972.75,1.2105263471603394,-11.241924285888672,-3.6789474487304688,-0.7833647727966309,-0.07380400598049164,0.9365714192390442
180019.40625,1.2105263471603394,-11.971896171569824,-3.5894737243652344,-0.7010717988014221,-0.06406889855861664,1.5974141359329224
186523.625,1.2105263471603394,-11.164412498474121,-3.5,-0.716273307800293,-0.06637773662805557,1.1388682126998901
180188.171875,1.4210526943206787,-13.785578727722168,-5.199999809265137,-1.145278811454773,-0.10410989820957184,1.5107111930847168
182907.25,1.4210526943206787,-13.531418800354004,-5.110526084899902,-1.135910987854004,-0.1042255163192749,0.6631423830986023
183939.9375,1.4210526943206787,-13.812150955200195,-5.021052360534668,-1.0749828815460205,-0.09656182676553726,0.5976758003234863
188260.109375,1.4210526943206787,-13.752568244934082,-4.931578636169434,-1.0401484966278076,-0.09247921407222748,2.1250104904174805
183446.59375,1.4210526943206787,-13.679450035095215,-4.842104911804199,-1.0218536853790283,-0.09169901907444,0.5684914588928223
183461.046875,1.4210526943206787,-13.602326393127441,-4.752631664276123,-0.9953897595405579,-0.08923286944627762,0.5623368620872498
178197.171875,1.4210526943206787,-12.349193572998047,-4.663157939910889,-1.066608190536499,-0.10067592561244965,2.8025002479553223
181592.96875,1.4210526943206787,-13.278562545776367,-4.573684215545654,-0.9483423829078674,-0.08463573455810547,0.8906518220901489
176560.75,1.4210526943206787,-11.563275337219238,-4.48421049118042,-1.0582534074783325,-0.1016044020652771,4.357580184936523
174019.34375,1.4210526943206787,-13.627978324890137,-4.3947367668151855,-0.8419385552406311,-0.07137390971183777,7.352756500244141
180294.3125,1.4210526943206787,-13.191038131713867,-4.305263042449951,-0.859682023525238,-0.07608124613761902,1.3846598863601685
179626.953125,1.4210526943206787,-13.09332275390625,-4.215789318084717,-0.828304648399353,-0.07250996679067612,1.7520745992660522
182898.015625,1.4210526943206787,-12.552509307861328,-4.126315593719482,-0.8421679735183716,-0.07589811831712723,0.6015086770057678
178569.9375,1.4210526943206787,-11.210179328918457,-4.036841869354248,-0.9225777983665466,-0.08876006305217743,2.499079942703247
177875.609375,1.4210526943206787,-11.827808380126953,-3.9473683834075928,-0.8361738920211792,-0.07762226462364197,2.9906156063079834
181461.890625,1.4210526943206787,-11.49611759185791,-3.8578946590423584,-0.8237529397010803,-0.07672078907489777,0.9379475116729736
178301.34375,1.4210526943206787,-11.991711616516113,-3.768420934677124,-0.7533286809921265,-0.06821540743112564,2.642533779144287
176651.953125,1.4210526943206787,-10.91578483581543,-3.6789474487304688,-0.8183942437171936,-0.07930794358253479,4.168359279632568
185832.59375,1.4210526943206787,-13.162349700927734,-3.5894737243652344,-0.5819353461265564,-0.04589296504855156,0.9944098591804504
180118.328125,1.4210526943206787,-12.482586860656738,-3.5,-0.6344419717788696,-0.05643259733915329,1.726607322692871
177709.21875,1.6315789222717285,-13.738483428955078,-5.199999809265137,-1.141800045967102,-0.10319008678197861,3.249338150024414
178008.390625,1.6315789222717285,-13.5404052734375,-5.110526084899902,-1.1336315870285034,-0.10383744537830353,2.92912220954895
186855.265625,1.6315789222717285,-13.654825210571289,-5.021052360534668,-1.0825453996658325,-0.09733053296804428,1.3503389358520508
176556.390625,1.6315789222717285,-13.759750366210938,-4.931578636169434,-1.0395429134368896,-0.09242305904626846,4.263804912567139
189732.609375,1.6315789222717285,-12.631017684936523,-4.842104911804199,-1.1022368669509888,-0.10276208817958832,3.296692371368408
176729.4375,1.6315789222717285,-12.979490280151367,-4.752631664276123,-1.040550947189331,-0.0952906459569931,4.082925319671631
184614.796875,1.6315789222717285,-13.440279006958008,-4.663157939910889,-0.9734283685684204,-0.0872819796204567,0.6163308024406433
173442.046875,1.6315789222717285,-12.155092239379883,-4.573684215545654,-1.0431849956512451,-0.09826365858316422,8.16905689239502
189950.640625,1.6315789222717285,-12.438606262207031,-4.48421049118042,-0.9883251190185547,-0.09185115993022919,3.3895046710968018
187281.609375,1.6315789222717285,-11.324617385864258,-4.3947367668151855,-1.0434905290603638,-0.1007300466299057,1.640436053276062
184282.359375,1.6315789222717285,-12.072421073913574,-4.305263042449951,-0.9515883922576904,-0.08913837373256683,0.611108660697937
188026.109375,1.6315789222717285,-12.843047142028809,-4.215789318084717,-0.8446390628814697,-0.07459370046854019,1.9216405153274536
185292.46875,1.6315789222717285,-12.834943771362305,-4.126315593719482,-0.8076061606407166,-0.07032594084739685,0.7911524772644043
184443.90625,1.6315789222717285,-12.989897727966309,-4.036841869354248,-0.7801388502120972,-0.06883310526609421,0.6329026818275452
181424.015625,1.6315789222717285,-13.389387130737305,-3.9473683834075928,-0.7039267420768738,-0.058660268783569336,0.9711767435073853
188429.078125,1.6315789222717285,-11.38340950012207,-3.8578946590423584,-0.8371250033378601,-0.07890123128890991,2.1748135089874268
183551.703125,1.6315789222717285,-12.324278831481934,-3.768420934677124,-0.7199826836585999,-0.06314606964588165,0.5736325979232788
178196.375,1.6315789222717285,-11.288678169250488,-3.6789474487304688,-0.7764054536819458,-0.07268504053354263,2.7286834716796875
176493.875,1.6315789222717285,-11.023697853088379,-3.5894737243652344,-0.7643349766731262,-0.0721944272518158,4.280562400817871
179095.96875,1.6315789222717285,-11.998513221740723,-3.5,-0.6490519642829895,-0.056989483535289764,2.092383623123169
177288.28125,1.8421052694320679,-13.72070598602295,-5.199999809265137,-1.1491498947143555,-0.10462908446788788,3.559344530105591
179438.1875,1.8421052694320679,-13.624368667602539,-5.110526084899902,-1.124967336654663,-0.1025305986404419,1.8998680114746094
188994.5625,1.8421052694320679,-13.284368515014648,-5.021052360534668,-1.116457223892212,-0.10238263756036758,2.642530918121338
