a_values,b_values,p0_values,p1_values,p2_values,p3_values,loglikelihood
186662.90625,1.0,-13.5,-4.451450347900391,-0.8891465067863464,-0.07818679511547089,2.8906443119049072
184892.84375,1.0,-13.0,-3.970564126968384,-0.7459680438041687,-0.06430451571941376,2.7071993350982666
181094.3125,1.0,-12.5,-4.087761878967285,-0.8332386016845703,-0.07519171386957169,2.8492796421051025
183995.140625,1.0,-12.0,-3.6419031620025635,-0.701809287071228,-0.062404416501522064,2.665691375732422
186736.40625,1.0,-11.5,-3.73828125,-0.7826842069625854,-0.07276049256324768,2.897643804550171
183427.34375,1.0,-11.0,-3.5251762866973877,-0.7425627708435059,-0.06994340568780899,2.6559202671051025
187106.109375,2.799999952316284,-13.5,-4.542815685272217,-0.9129571914672852,-0.07990825176239014,2.9704091548919678
184420.109375,2.799999952316284,-13.0,-4.41707181930542,-0.9026265740394592,-0.07992106676101685,2.6734352111816406
183192.15625,2.799999952316284,-12.5,-3.8054451942443848,-0.7137486338615417,-0.06157633662223816,2.687753677368164
180318.21875,2.799999952316284,-12.0,-3.991600275039673,-0.8267363905906677,-0.07514586299657822,2.982558488845825
184109.0625,2.799999952316284,-11.5,-3.9012272357940674,-0.8353398442268372,-0.07770390808582306,2.6579864025115967
184417.125,2.799999952316284,-11.0,-4.077465057373047,-0.9386076331138611,-0.08966048061847687,2.675658941268921
184290.953125,4.599999904632568,-13.5,-3.7231454849243164,-0.5885428190231323,-0.04446885362267494,2.7766900062561035
182567.96875,4.599999904632568,-13.0,-3.827200174331665,-0.6703895330429077,-0.05473973974585533,2.7578725814819336
181921.921875,4.599999904632568,-12.5,-3.6287760734558105,-0.6355098485946655,-0.05244635045528412,2.807729959487915
183932.515625,4.599999904632568,-12.0,-3.983325719833374,-0.808639407157898,-0.0720251128077507,2.6686525344848633
182990.21875,4.599999904632568,-11.5,-4.05613374710083,-0.8818359375,-0.0816909447312355,2.6701269149780273
183647.6875,4.599999904632568,-11.0,-4.592981338500977,-1.1285879611968994,-0.1095050498843193,2.6819286346435547
184235.609375,6.400000095367432,-13.5,-4.157670497894287,-0.7432563304901123,-0.06013406440615654,2.7385339736938477
183093.28125,6.400000095367432,-13.0,-4.428635120391846,-0.8868829011917114,-0.07680205255746841,2.6912498474121094
181050.453125,6.400000095367432,-12.5,-3.8283355236053467,-0.700020968914032,-0.05844751372933388,2.915668487548828
183354.578125,6.400000095367432,-12.0,-3.79596209526062,-0.727570652961731,-0.06271543353796005,2.698428153991699
182973.796875,6.400000095367432,-11.5,-3.9102413654327393,-0.8144298791885376,-0.07362748682498932,2.6834590435028076
184528.15625,6.400000095367432,-11.0,-3.78800630569458,-0.8068588376045227,-0.07407232373952866,2.680104970932007
182461.328125,8.199999809265137,-13.5,-4.495304584503174,-0.8614077568054199,-0.07194331288337708,2.7589707374572754
182541.75,8.199999809265137,-13.0,-3.9432027339935303,-0.692963182926178,-0.05555325001478195,2.7948532104492188
183730.25,8.199999809265137,-12.5,-4.0511956214904785,-0.774340808391571,-0.06558267772197723,2.7108168601989746
185293.015625,8.199999809265137,-12.0,-3.6507561206817627,-0.6621019244194031,-0.055020105093717575,2.7977077960968018
182751.40625,8.199999809265137,-11.5,-3.6408307552337646,-0.7003557085990906,-0.060636263340711594,2.732119560241699
180694.1875,8.199999809265137,-11.0,-3.9932689666748047,-0.8771562576293945,-0.08104044944047928,2.919145107269287
185342.46875,10.0,-13.5,-4.214150905609131,-0.7427533268928528,-0.058453518897295,2.8487472534179688
182105.296875,10.0,-13.0,-3.905348539352417,-0.6666712164878845,-0.051858533173799515,2.865074634552002
183911.84375,10.0,-12.5,-4.001599311828613,-0.7475764155387878,-0.06222674250602722,2.7421271800994873
185653.75,10.0,-12.0,-3.7708520889282227,-0.7007177472114563,-0.0586913637816906,2.841433048248291
186146.921875,10.0,-11.5,-4.059617519378662,-0.8455585837364197,-0.07494749128818512,2.844235420227051
185204.609375,10.0,-11.0,-4.150657653808594,-0.9255359768867493,-0.08531894534826279,2.72194242477417
