b_values,p0_values,loglikelihood
-10.0,-15.0,27162.473
-10.0,-12.75,483.25262
-10.0,-10.5,17288.197
-10.0,-8.25,630.2221
-10.0,-6.0,135.69142
-7.75,-15.0,20431.285
-7.75,-12.75,34037.63
-7.75,-10.5,572.0818
-7.75,-8.25,9105.37
-7.75,-6.0,9373.857
-5.5,-15.0,142475.03
-5.5,-12.75,536.49457
-5.5,-10.5,4893.102
-5.5,-8.25,2527.8542
-5.5,-6.0,5147.8076
-3.25,-15.0,20489.883
-3.25,-12.75,2014.9227
-3.25,-10.5,20454.809
-3.25,-8.25,19032.736
-3.25,-6.0,1243.3472
-1.0,-15.0,31460.834
-1.0,-12.75,14626.445
-1.0,-10.5,502.63248
-1.0,-8.25,5.168261
-1.0,-6.0,329.71912
