b_values,p0_values,loglikelihood
1.0,-15.0,9174.728515625
1.0,-14.949495315551758,3.403806447982788
1.0,-14.8989896774292,325698.90625
1.0,-14.848484992980957,24732.466796875
1.0,-14.797979354858398,16623.9453125
1.0,-14.747474670410156,28382.974609375
1.0,-14.696969985961914,6781.3994140625
1.0,-14.646464347839355,164995.25
1.0,-14.595959663391113,182336.25
1.0,-14.545454978942871,3203.3515625
1.0,-14.494949340820312,537.2037353515625
1.0,-14.44444465637207,1447.1572265625
1.0,-14.393939018249512,600.873779296875
1.0,-14.34343433380127,6.66193151473999
1.0,-14.292929649353027,224.6245574951172
1.0,-14.242424011230469,20453.798828125
1.0,-14.191919326782227,814.3548583984375
1.0,-14.141413688659668,188125.8125
1.0,-14.090909004211426,80.48165130615234
1.0,-14.040404319763184,2244.312744140625
1.0,-13.989898681640625,46.95749282836914
1.0,-13.939393997192383,5508.3603515625
1.0,-13.88888931274414,116.15177154541016
1.0,-13.838383674621582,1495.41650390625
1.0,-13.78787899017334,11294.59765625
1.0,-13.737373352050781,26437.21875
1.0,-13.686868667602539,22367.62890625
1.0,-13.636363983154297,33028.44921875
1.0,-13.585858345031738,614.3577270507812
1.0,-13.535353660583496,37599.9453125
1.0,-13.484848976135254,21.596073150634766
1.0,-13.434343338012695,185891.125
1.0,-13.383838653564453,23933.705078125
1.0,-13.333333015441895,67972.2734375
1.0,-13.282828330993652,42.893280029296875
1.0,-13.23232364654541,836.1702880859375
1.0,-13.181818008422852,127.58873748779297
1.0,-13.13131332397461,46.14319610595703
1.0,-13.08080768585205,102.23274230957031
1.0,-13.030303001403809,8.146504402160645
1.0,-12.979798316955566,637.3271484375
1.0,-12.929292678833008,27933.1171875
1.0,-12.878787994384766,9348.3837890625
1.0,-12.828283309936523,8242.7431640625
1.0,-12.777777671813965,96061.875
1.0,-12.727272987365723,1242.7506103515625
1.0,-12.676767349243164,2912.748046875
1.0,-12.626262664794922,68695.9453125
1.0,-12.57575798034668,2744.9609375
1.0,-12.525252342224121,405.11517333984375
1.0,-12.474747657775879,6181.16552734375
1.0,-12.42424201965332,71731.921875
1.0,-12.373737335205078,65.15225982666016
1.0,-12.323232650756836,1844.3477783203125
1.0,-12.272727012634277,4523.40283203125
1.0,-12.222222328186035,45893.2890625
1.0,-12.171716690063477,71.0370864868164
1.0,-12.121212005615234,17134.189453125
1.0,-12.070707321166992,6817.236328125
1.0,-12.020201683044434,384.799560546875
1.0,-11.969696998596191,878.3290405273438
1.0,-11.91919231414795,11070.0908203125
1.0,-11.86868667602539,82.42118072509766
1.0,-11.818181991577148,262.8482971191406
1.0,-11.76767635345459,131498.65625
1.0,-11.717171669006348,15789.984375
1.0,-11.666666984558105,23.143077850341797
1.0,-11.616161346435547,89.04740905761719
1.0,-11.565656661987305,185915.796875
1.0,-11.515151023864746,75676.921875
1.0,-11.464646339416504,62466.1875
1.0,-11.414141654968262,37847.19921875
1.0,-11.363636016845703,491.65338134765625
1.0,-11.313131332397461,742.7225952148438
1.0,-11.262626647949219,6537.31201171875
1.0,-11.21212100982666,38713.9375
1.0,-11.161616325378418,3061.627685546875
1.0,-11.11111068725586,16197.009765625
1.0,-11.060606002807617,20537.658203125
1.0,-11.010101318359375,2715.432861328125
1.0,-10.959595680236816,133052.09375
1.0,-10.909090995788574,4209.22119140625
1.0,-10.858586311340332,181.49090576171875
1.0,-10.808080673217773,3602.85595703125
1.0,-10.757575988769531,127905.4140625
1.0,-10.707070350646973,237.03836059570312
1.0,-10.65656566619873,3731.051025390625
1.0,-10.606060981750488,183.2594757080078
1.0,-10.55555534362793,2985.755615234375
1.0,-10.505050659179688,248733.046875
1.0,-10.454545021057129,9.681726455688477
1.0,-10.404040336608887,20106.517578125
1.0,-10.353535652160645,332.4032287597656
1.0,-10.303030014038086,22.94880485534668
1.0,-10.252525329589844,18385.953125
1.0,-10.202020645141602,510.357666015625
1.0,-10.151515007019043,826.9788818359375
1.0,-10.1010103225708,619.7069091796875
