a_values,b_values,p0_values,p1_values,p2_values,p3_values,loglikelihood
182751.78125,1.0,-13.5,-4.322810649871826,-0.8431331515312195,-0.07357154041528702,0.6222339272499084
183935.515625,1.0,-13.368420600891113,-4.009451389312744,-0.7339479327201843,-0.06227722391486168,0.5861361622810364
180452.4375,1.0,-13.236842155456543,-4.289519786834717,-0.851005494594574,-0.07507037371397018,1.3098914623260498
184663.21875,1.0,-13.105262756347656,-3.8485283851623535,-0.6941457986831665,-0.05879586562514305,0.6550540924072266
183173.703125,1.0,-12.973684310913086,-3.8717267513275146,-0.7147429585456848,-0.061462029814720154,0.596881091594696
178289.90625,1.0,-12.8421049118042,-4.349969863891602,-0.9080218076705933,-0.08243410289287567,2.6545615196228027
183290.375,1.0,-12.710526466369629,-3.9326515197753906,-0.7590208649635315,-0.06688423454761505,0.57281494140625
185529.8125,1.0,-12.578947067260742,-4.488175392150879,-0.9833782911300659,-0.09132007509469986,0.8295272588729858
183673.765625,1.0,-12.447368621826172,-3.690455436706543,-0.6901558637619019,-0.06049521639943123,0.5725769400596619
177664.484375,1.0,-12.315789222717285,-4.233200550079346,-0.9074044227600098,-0.08395808190107346,3.178185224533081
189260.625,1.0,-12.184210777282715,-4.219813823699951,-0.9133434295654297,-0.08499427139759064,2.7943220138549805
175984.921875,1.0,-12.052631378173828,-4.052000045776367,-0.8600260019302368,-0.07968561351299286,4.827014446258545
181294.765625,1.0,-11.921052932739258,-3.994889736175537,-0.8485480546951294,-0.07879520952701569,0.9802490472793579
178539.640625,1.0,-11.789473533630371,-3.7830121517181396,-0.7792513370513916,-0.071865014731884,2.464348793029785
180887.953125,1.0,-11.6578950881958,-3.9151296615600586,-0.8393511772155762,-0.07853909581899643,1.1369436979293823
186082.125,1.0,-11.526315689086914,-4.027677059173584,-0.895071804523468,-0.08504630625247955,1.0038834810256958
183209.765625,1.0,-11.394737243652344,-3.5327024459838867,-0.7154468894004822,-0.06613882631063461,0.5745766162872314
188624.03125,1.0,-11.263157844543457,-3.703080177307129,-0.7920634746551514,-0.07475892454385757,2.307723045349121
184108.796875,1.0,-11.131579399108887,-3.8847384452819824,-0.8735462427139282,-0.0839512050151825,0.6168084740638733
189629.03125,1.0,-11.0,-3.596980571746826,-0.7728421092033386,-0.07343757897615433,3.0916645526885986
176038.953125,1.2105263471603394,-13.5,-3.9308173656463623,-0.6918416023254395,-0.057314399629831314,4.804171562194824
188185.28125,1.2105263471603394,-13.368420600891113,-4.173088550567627,-0.7957590818405151,-0.06883235275745392,2.008664608001709
179115.765625,1.2105263471603394,-13.236842155456543,-3.9374799728393555,-0.7159407138824463,-0.060637738555669785,2.089043617248535
183459.421875,1.2105263471603394,-13.105262756347656,-4.081308841705322,-0.7817819118499756,-0.06804859638214111,0.5679632425308228
180730.296875,1.2105263471603394,-12.973684310913086,-3.718273401260376,-0.6536885499954224,-0.05474374070763588,1.2316746711730957
183889.125,1.2105263471603394,-12.8421049118042,-4.148016452789307,-0.8279770016670227,-0.07364658266305923,0.5581117272377014
188412.296875,1.2105263471603394,-12.710526466369629,-4.532435417175293,-0.9879856705665588,-0.09131788462400436,2.174913167953491
184025.21875,1.2105263471603394,-12.578947067260742,-4.48010778427124,-0.9782720804214478,-0.09060937166213989,0.5914498567581177
188450.0625,1.2105263471603394,-12.447368621826172,-3.7905120849609375,-0.7248523235321045,-0.06388445198535919,2.181823253631592
180570.046875,1.2105263471603394,-12.315789222717285,-3.883702039718628,-0.7718127965927124,-0.06932592391967773,1.2572327852249146
