a_values,b_values,p0_values,p1_values,p2_values,p3_values,loglikelihood
184148.5,1.0,-13.688745498657227,-5.199999809265137,-1.147486686706543,-0.10400214791297913,0.7624685764312744
189464.953125,1.0,-13.605781555175781,-5.110526084899902,-1.1104904413223267,-0.09935592114925385,3.324460029602051
177779.75,1.0,-13.11443042755127,-5.021052360534668,-1.1236716508865356,-0.1028585135936737,3.3229737281799316
188130.59375,1.0,-13.17407512664795,-4.931578636169434,-1.0863035917282104,-0.09887056052684784,2.175706148147583
181858.921875,1.0,-13.173395156860352,-4.842104911804199,-1.0654077529907227,-0.09793296456336975,0.8497419953346252
189392.109375,1.0,-12.990083694458008,-4.752631664276123,-1.0497171878814697,-0.09712114185094833,2.925680160522461
183740.609375,1.0,-13.644372940063477,-4.663157939910889,-0.9609329700469971,-0.08568475395441055,0.5554153323173523
183897.765625,1.0,-13.488147735595703,-4.573684215545654,-0.938775360584259,-0.0836932435631752,0.5581991076469421
176614.046875,1.0,-13.186681747436523,-4.48421049118042,-0.9307938814163208,-0.08384989947080612,4.152233123779297
186019.65625,1.0,-13.072568893432617,-4.3947367668151855,-0.9046974778175354,-0.08127050846815109,0.942600429058075
183022.109375,1.0,-12.94235897064209,-4.305263042449951,-0.8824694752693176,-0.07939694076776505,0.5881497859954834
183700.015625,1.0,-12.796147346496582,-4.215789318084717,-0.8599382042884827,-0.07738029956817627,0.5552564859390259
183800.65625,1.0,-12.432135581970215,-4.126315593719482,-0.8623850345611572,-0.07934198528528214,0.5735442638397217
183562.46875,1.0,-12.084577560424805,-4.036841869354248,-0.8513396978378296,-0.07864084094762802,0.5648865699768066
180163.546875,1.0,-13.450825691223145,-3.9473683834075928,-0.703253984451294,-0.05874532461166382,1.489939570426941
184408.5625,1.0,-11.731322288513184,-3.8578946590423584,-0.8019007444381714,-0.07340594381093979,0.6432104706764221
184093.640625,1.0,-11.835152626037598,-3.768420934677124,-0.7690584063529968,-0.07056213170289993,0.568157434463501
184517.609375,1.0,-10.887168884277344,-3.6789474487304688,-0.8202624917030334,-0.07948282361030579,0.652944028377533
184032.75,1.0,-11.580206871032715,-3.5894737243652344,-0.723235547542572,-0.06656438112258911,0.5659849047660828
183523.234375,1.0,-12.051321029663086,-3.5,-0.6489191055297852,-0.05714050307869911,0.5751067996025085
182734.890625,1.2105263471603394,-13.214920997619629,-5.199999809265137,-1.1846059560775757,-0.10917771607637405,0.900373637676239
176584.921875,1.2105263471603394,-12.941856384277344,-5.110526084899902,-1.1812729835510254,-0.1104293018579483,4.355830669403076
178751.640625,1.2105263471603394,-13.560372352600098,-5.021052360534668,-1.0942376852035522,-0.09917033463716507,2.3889365196228027
187698.8125,1.2105263471603394,-13.595050811767578,-4.931578636169434,-1.058727502822876,-0.09543183445930481,1.756443977355957
173934.515625,1.2105263471603394,-11.887382507324219,-4.842104911804199,-1.1708877086639404,-0.11289513111114502,7.618531227111816
189522.359375,1.2105263471603394,-12.976229667663574,-4.752631664276123,-1.0356690883636475,-0.09421678632497787,3.1284849643707275
189442.703125,1.2105263471603394,-12.34040641784668,-4.663157939910889,-1.0570298433303833,-0.09864646941423416,3.090019941329956
183395.5625,1.2105263471603394,-13.103362083435059,-4.573684215545654,-0.9704195261001587,-0.08821046352386475,0.5712894797325134
183645.140625,1.2105263471603394,-12.939866065979004,-4.48421049118042,-0.9480856657028198,-0.08614613860845566,0.565549373626709
184262.015625,1.2105263471603394,-13.182106971740723,-4.3947367668151855,-0.8955757021903992,-0.08000009506940842,0.5765878558158875
177181.984375,1.2105263471603394,-12.932588577270508,-4.305263042449951,-0.8803585767745972,-0.07894761860370636,3.5973398685455322
183578.953125,1.2105263471603394,-12.52883243560791,-4.215789318084717,-0.8826107978820801,-0.08066806942224503,0.5608013272285461
183703.5625,1.2105263471603394,-12.625691413879395,-4.126315593719482,-0.8423117399215698,-0.07626895606517792,0.5592648983001709
183509.328125,1.2105263471603394,-13.062711715698242,-4.036841869354248,-0.7680869102478027,-0.06669087707996368,0.5686379671096802
186524.421875,1.2105263471603394,-11.940215110778809,-3.9473683834075928,-0.8240088224411011,-0.07568642497062683,1.1380921602249146
183578.328125,1.2105263471603394,-11.624883651733398,-3.8578946590423584,-0.8184831142425537,-0.07627271115779877,0.5666258931159973
183827.0,1.2105263471603394,-11.881114959716797,-3.768420934677124,-0.763521671295166,-0.06969864666461945,0.5573086738586426
183912.875,1.2105263471603394,-12.259907722473145,-3.6789474487304688,-0.6963887810707092,-0.061268553137779236,0.5709658265113831
